msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_003,GENE1001-2-3-24(N01),14:08.8,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),14:08.8,neutral,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_021,GENE1001-2-3-24(N01),19:34.0,sad,7.2,224,140,64,22.7,49.7,51,3181.7,2165.7,1016,551,2630.7
student_021,GENE1001-2-3-24(N01),19:34.0,sad,7.2,224,140,64,22.7,49.7,51,3181.7,2165.7,1016,551,2630.7
student_003,GENE1001-2-3-24(N01),27:24.6,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),27:30.6,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),27:30.7,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),28:21.2,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_021,GENE1001-2-3-24(N01),32:16.7,neutral,7.2,224,140,64,22.7,49.7,51,3181.7,2165.7,1016,551,2630.7
student_003,GENE1001-2-3-24(N01),33:32.8,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),39:26.5,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),50:38.0,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),50:38.0,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
student_003,GENE1001-2-3-24(N01),03:04.9,sad,8.4,395,217,82,8,21.2,43.2,1740.6,702.4,1038.2,1404.2,336.4
